category,date,description_text,likes,num_reviews,review_score,title,user_name,views
Universal Fit,"Oct 23, 2019",Quad BA in-ear monitor from Cayin,0,1.0,4.5,Cayin YB04,davidmolliere,557
Headphones,"Oct 20, 2019",Top of the line headphones by Mixcder,0,1.0,4,Mixcder E10 Active Noise Cancelling Headphones,Jupit3r,416
Earbuds,"Oct 20, 2019",BGVP DX5 DLC Diaphragm MMCX HiFI Earbud,0,1.0,4.5,BGVP DX5,cqtek,594
In-Ear,"Oct 19, 2019","Tribrid IEM with 10mm dynamic, dual BA driver and 8mm magnetostatic driver.",2,1.0,5,Itsfit Fusion,crabdog,371
Universal Fit,"Oct 18, 2019",The Dream XLS is a culmination of everything DITA Audio has gleaned through years of research in its quest for the sublime: melding the lessons...,0,0.0,0,Dita Dream XLS,subguy812,266
Headphones,"Oct 16, 2019","Inexpensive. Superb audio quality. Not the loudest, but beautifully made.",0,0.0,0,OneAudio Elysium,TStarGermany,225
Wireless,"Oct 16, 2019",Bluetooth 5.0 Headphones with 100 hours of playback time.,0,1.0,5,Cleer Audio Enduro 100,Wretched Stare,404
Over-Ear,"Oct 14, 2019",Boltune's Latest ANC Headphone,1,1.0,5,Boltune BT-BH011 Noise Cancelling Headphones,SilverCans,436
Earbuds,"Oct 14, 2019",Wireless earbuds with shape-memory alloy neck-band.,0,1.0,4.5,Mobifen Flex-L Air Wireless Neck-Band Earbuds,MrOTL,1K
Over-Ear,"Oct 13, 2019",The 2019 model features the 2nd Gen ANC chip and Bluetooth 5.0,0,1.0,5,Mixcder E7 Active Noise Cancelling Over Ear Headphones (2019),Jupit3r,1K
Universal Fit,"Oct 13, 2019",2BA 2Pin 0.78mm HiFi Audiophile In-ear Earphone IEMs with 3 Tuning Switch,0,1.0,4.5,Tansio Mirai TSMR-2,cqtek,697
Wireless,"Oct 11, 2019",Wireless version of Zs10 Pro (same Drivers),0,1.0,3.5,KZ E10 TWS,Wiljen,4K
Wireless,"Oct 11, 2019","Dudios Shuttle True Wireless Earbuds

*【HiFi Stereo Sound】Choose special drivers and upgraded SW provide loud volume and lossless sound quality...",0,1.0,3.5,Dudios Shuttle True Wireless Earbuds,Wiljen,510
Wireless,"Oct 11, 2019",Wireless in-ear w Bluetooth 5.0 and charging case,0,1.0,3,Sabbat E12 Ultra,Wiljen,727
Wireless,"Oct 11, 2019",Bluetooth 5 in-ear from Helm Audio,0,1.0,4,Helm Audio TW 5,Wiljen,451
Wireless,"Dec 16, 2017","Bingle FB60 Bluetooth Sports Earbud  
10mm or 11mm Dynamic Driver depending on site listing - measures 10mm
with Bluetooth 4.0 or 4.1 depending on...",0,0.0,0,Bingle FB60 Wireless Sport Earphone,Wiljen,570
Wireless,"Dec 15, 2017","Mobile Bluetooth headphones with sound personalization
Mobile Bluetooth headphones with optimum sound quality thanks to Tesla technology and...",0,3.0,4.5,Beyerdnamic Aventho Wireless,Mightygrey,11K
Headphones,"Dec 15, 2017",,0,1.0,3,Beats Studio3,MICHAELSD,4K
Wireless,"Dec 15, 2017","Stereo Voice & Advanced Bluetooth 4.1 Technology.QCY Q29 wireless Earbud Built Bluetooth V4.1, which provides an incredible and stereo sound,...",0,1.0,3,QCY Q29 Mini Dual V4.1 Bluetooth wireless earphones,NymPHONOmaniac,4K
In-Ear,"Dec 15, 2017","Fusing wood and metal, Astrotec's latest dynamic driver in-ear is tuned for a balanced and spacious sound with low distortion.",0,0.0,0,Astrotec AM800M,ryanjsoo,584
In-Ear,"Dec 14, 2017","Specification:                                                                                                          
 
    1. Product Name:...",0,3.0,3.8,NICEHCK Bro In Ear Earphone 1DD+1BA Hybrid Earphone,NymPHONOmaniac,7K
